file name,line count, actual content line count,number of revisions,lines per revision
npm/npmjs/-/json3.yaml,11,6,2,3
npm/npmjs/-/jsonlint-lines-primitives.yaml,8,3,1,3
npm/npmjs/-/jsonpointer.yaml,8,3,1,3
npm/npmjs/-/json-schema.yaml,11,6,2,3
npm/npmjs/-/JSONSelect.yaml,32,27,2,13
npm/npmjs/-/jstimezonedetect.yaml,8,3,1,3
npm/npmjs/-/JSV.yaml,8,3,1,3
npm/npmjs/-/jszip.yaml,23,19,1,19
npm/npmjs/-/jWorkflow.yaml,9,4,1,4
npm/npmjs/-/keymirror.yaml,8,3,1,3
npm/npmjs/-/leb.yaml,8,3,1,3
npm/npmjs/-/less-vars-to-js.yaml,8,3,1,3
npm/npmjs/-/machina.yaml,8,3,1,3
npm/npmjs/-/mapbox-gl.yaml,11,6,2,3
npm/npmjs/@mapbox/jsonlint-lines-primitives.yaml,12,6,2,3
npm/npmjs/-/map-stream.yaml,8,3,1,3
npm/npmjs/-/match-at.yaml,8,3,1,3
npm/npmjs/-/metro-babylon7.yaml,8,3,1,3
npm/npmjs/-/metro-cache.yaml,8,3,1,3
npm/npmjs/-/metro-core.yaml,8,3,1,3
npm/npmjs/-/metro-resolver.yaml,8,3,1,3
npm/npmjs/-/metro-source-map.yaml,8,3,1,3
npm/npmjs/-/metro.yaml,8,3,1,3
npm/npmjs/-/microplugin.yaml,8,3,1,3
npm/npmjs/@microsoft/load-themed-styles.yaml,15,9,1,9
npm/npmjs/@microsoft/microsoft-graph-client.yaml,9,3,1,3
npm/npmjs/-/min-document.yaml,8,3,1,3
npm/npmjs/-/minstache.yaml,8,3,1,3
npm/npmjs/-/mocha-cloud.yaml,15,9,1,9
npm/npmjs/-/mockery.yaml,8,3,1,3
npm/npmjs/-/mousetrap.yaml,8,3,1,3
npm/npmjs/-/ms.yaml,8,3,1,3
npm/npmjs/-/murmurhash.yaml,8,3,1,3
npm/npmjs/-/mute-stream.yaml,8,3,1,3
npm/npmjs/-/node-forge.yaml,8,3,1,3
npm/npmjs/-/nomnom.yaml,11,6,2,3
npm/npmjs/-/numeric.yaml,8,3,1,3
npm/npmjs/-/object-component.yaml,8,3,1,3
npm/npmjs/-/office-ui-fabric-react.yaml,15,9,1,9
npm/npmjs/-/onecolor.yaml,8,3,1,3
npm/npmjs/-/one-com-knockout-projections.yaml,8,3,1,3
npm/npmjs/-/optimist.yaml,11,6,2,3
npm/npmjs/-/options.yaml,8,3,1,3
npm/npmjs/-/pad-component.yaml,8,3,1,3
npm/npmjs/-/path-to-regexp.yaml,8,3,1,3
npm/npmjs/-/pause-stream.yaml,8,3,1,3
npm/npmjs/-/pleeease-filters.yaml,8,3,1,3
npm/npmjs/-/prelude-ls.yaml,8,3,1,3
npm/npmjs/-/querystring-es3.yaml,8,3,1,3
npm/npmjs/-/querystring.yaml,8,3,1,3
npm/npmjs/-/qunitjs.yaml,8,3,1,3
npm/npmjs/-/range-parser.yaml,8,3,1,3
npm/npmjs/-/raw-loader.yaml,8,3,1,3
npm/npmjs/-/react-native-appboy-sdk.yaml,8,3,1,3
npm/npmjs/-/readline.yaml,11,6,2,3
npm/npmjs/-/redux-thunk-actions.yaml,15,9,1,9
npm/npmjs/-/regenerator-transform.yaml,8,3,1,3
npm/npmjs/-/regjsparser.yaml,8,3,1,3
npm/npmjs/-/repeat-string.yaml,8,3,1,3
npm/npmjs/-/replace-ext.yaml,8,3,1,3
npm/npmjs/-/requirejs.yaml,8,3,1,3
npm/npmjs/-/ripemd160.yaml,8,3,1,3
npm/npmjs/-/rxjs-compat.yaml,8,3,1,3
npm/npmjs/-/rx-lite-aggregates.yaml,8,3,1,3
npm/npmjs/-/rx-lite.yaml,8,3,1,3
npm/npmjs/-/rx.yaml,8,3,1,3
npm/npmjs/-/s3-prototype.yaml,15,9,1,9
npm/npmjs/-/saucelabs.yaml,8,3,1,3
npm/npmjs/-/sax.yaml,17,12,3,4
npm/npmjs/-/scriptjs.yaml,8,3,1,3
npm/npmjs/-/semaphore.yaml,8,3,1,3
npm/npmjs/-/sha256.yaml,8,3,1,3
